"myfiles","mean"
"ginppi.dt.4.p.0.86.L1.0.0023.L2.0.00023.n.5000.time.2016Jan03_071008.csv",25.3225406696425
"ginppi.dt.4.p.0.86.L1.0.0024.L2.0.00024.n.5000.time.2016Jan03_071348.csv",24.264347430514
"ginppi.dt.4.p.0.86.L1.0.0025.L2.0.00025.n.5000.time.2016Jan03_071728.csv",23.0491470433341
"ginppi.dt.4.p.0.86.L1.0.0026.L2.0.00026.n.5000.time.2016Jan03_072109.csv",22.4382343365985
"ginppi.dt.4.p.0.86.L1.0.0028.L2.0.00028.n.5000.time.2016Jan03_072449.csv",20.8551765210742
"ginppi.dt.4.p.0.86.L1.0.0028.L2.0.00028.n.5000.time.2016Jan03_072829.csv",20.7637907738388
"ginppi.dt.4.p.0.86.L1.0.0029.L2.0.00029.n.5000.time.2016Jan03_073210.csv",20.0588373255676
"ginppi.dt.4.p.0.86.L1.0.003.L2.3e-04.n.5000.time.2016Jan03_073549.csv",19.3162099900455
"ginppi.dt.4.p.0.86.L1.0.0035.L2.0.00035.n.5000.time.2016Jan03_073927.csv",16.8149467265167
"ginppi.dt.4.p.0.86.L1.0.004.L2.4e-04.n.5000.time.2016Jan03_074305.csv",14.5998524003682
"ginppi.dt.4.p.0.86.L1.0.0045.L2.0.00045.n.5000.time.2016Jan03_074647.csv",12.7031187045322
"ginppi.dt.4.p.0.87.L1.0.002.L2.2e-04.n.5000.time.2016Jan03_060807.csv",30.3487739758586
"ginppi.dt.4.p.0.87.L1.0.0021.L2.0.00021.n.5000.time.2016Jan03_061144.csv",27.8055142725349
"ginppi.dt.4.p.0.87.L1.0.0022.L2.0.00022.n.5000.time.2016Jan03_061523.csv",27.2416819268039
"ginppi.dt.4.p.0.87.L1.0.0023.L2.0.00023.n.5000.time.2016Jan03_061903.csv",25.8227520488713
"ginppi.dt.4.p.0.87.L1.0.0024.L2.0.00024.n.5000.time.2016Jan03_062245.csv",25.0605510911103
"ginppi.dt.4.p.0.87.L1.0.0025.L2.0.00025.n.5000.time.2016Jan03_062622.csv",24.1592660795562
"ginppi.dt.4.p.0.87.L1.0.0026.L2.0.00026.n.5000.time.2016Jan03_063004.csv",22.9376877113871
